"row ID","sepal length","sepal width","petal length","petal width","class"
"Row0",5.1,3.5,1.4,0.2,"Iris-setosa"
"Row1",4.9,3.0,1.4,0.2,"Iris-setosa"
"Row2",4.7,3.2,1.3,0.2,"Iris-setosa"
"Row3",4.6,3.1,1.5,0.2,"Iris-setosa"
"Row4",5.0,3.6,1.4,0.2,"Iris-setosa"
"Row5",5.4,3.9,1.7,0.4,"Iris-setosa"
"Row6",4.6,3.4,1.4,0.3,"Iris-setosa"
"Row7",5.0,3.4,1.5,0.2,"Iris-setosa"
"Row8",4.4,2.9,1.4,0.2,"Iris-setosa"
"Row9",4.9,3.1,1.5,0.1,"Iris-setosa"
"Row10",5.4,3.7,1.5,0.2,"Iris-setosa"
"Row11",4.8,3.4,1.6,0.2,"Iris-setosa"
"Row12",4.8,3.0,1.4,0.1,"Iris-setosa"
"Row13",4.3,3.0,1.1,0.1,"Iris-setosa"
"Row14",5.8,4.0,1.2,0.2,"Iris-setosa"
"Row15",5.7,4.4,1.5,0.4,"Iris-setosa"
"Row16",5.4,3.9,1.3,0.4,"Iris-setosa"
"Row17",5.1,3.5,1.4,0.3,"Iris-setosa"
"Row18",5.7,3.8,1.7,0.3,"Iris-setosa"
"Row19",5.1,3.8,1.5,0.3,"Iris-setosa"
"Row20",5.4,3.4,1.7,0.2,"Iris-setosa"
"Row21",5.1,3.7,1.5,0.4,"Iris-setosa"
"Row22",4.6,3.6,1.0,0.2,"Iris-setosa"
"Row23",5.1,3.3,1.7,0.5,"Iris-setosa"
"Row24",4.8,3.4,1.9,0.2,"Iris-setosa"
"Row25",5.0,3.0,1.6,0.2,"Iris-setosa"
"Row26",5.0,3.4,1.6,0.4,"Iris-setosa"
"Row27",5.2,3.5,1.5,0.2,"Iris-setosa"
"Row28",5.2,3.4,1.4,0.2,"Iris-setosa"
"Row29",4.7,3.2,1.6,0.2,"Iris-setosa"
"Row30",4.8,3.1,1.6,0.2,"Iris-setosa"
"Row31",5.4,3.4,1.5,0.4,"Iris-setosa"
"Row32",5.2,4.1,1.5,0.1,"Iris-setosa"
"Row33",5.5,4.2,1.4,0.2,"Iris-setosa"
"Row34",4.9,3.1,1.5,0.1,"Iris-setosa"
"Row35",5.0,3.2,1.2,0.2,"Iris-setosa"
"Row36",5.5,3.5,1.3,0.2,"Iris-setosa"
"Row37",4.9,3.1,1.5,0.1,"Iris-setosa"
"Row38",4.4,3.0,1.3,0.2,"Iris-setosa"
"Row39",5.1,3.4,1.5,0.2,"Iris-setosa"
"Row40",5.0,3.5,1.3,0.3,"Iris-setosa"
"Row41",4.5,2.3,1.3,0.3,"Iris-setosa"
"Row42",4.4,3.2,1.3,0.2,"Iris-setosa"
"Row43",5.0,3.5,1.6,0.6,"Iris-setosa"
"Row44",5.1,3.8,1.9,0.4,"Iris-setosa"
"Row45",4.8,3.0,1.4,0.3,"Iris-setosa"
"Row46",5.1,3.8,1.6,0.2,"Iris-setosa"
"Row47",4.6,3.2,1.4,0.2,"Iris-setosa"
"Row48",5.3,3.7,1.5,0.2,"Iris-setosa"
"Row49",5.0,3.3,1.4,0.2,"Iris-setosa"
"Row50",7.0,3.2,4.7,1.4,"Iris-versicolor"
"Row51",6.4,3.2,4.5,1.5,"Iris-versicolor"
"Row52",6.9,3.1,4.9,1.5,"Iris-versicolor"
"Row53",5.5,2.3,4.0,1.3,"Iris-versicolor"
"Row54",6.5,2.8,4.6,1.5,"Iris-versicolor"
"Row55",5.7,2.8,4.5,1.3,"Iris-versicolor"
"Row56",6.3,3.3,4.7,1.6,"Iris-versicolor"
"Row57",4.9,2.4,3.3,1.0,"Iris-versicolor"
"Row58",6.6,2.9,4.6,1.3,"Iris-versicolor"
"Row59",5.2,2.7,3.9,1.4,"Iris-versicolor"
"Row60",5.0,2.0,3.5,1.0,"Iris-versicolor"
"Row61",5.9,3.0,4.2,1.5,"Iris-versicolor"
"Row62",6.0,2.2,4.0,1.0,"Iris-versicolor"
"Row63",6.1,2.9,4.7,1.4,"Iris-versicolor"
"Row64",5.6,2.9,3.6,1.3,"Iris-versicolor"
"Row65",6.7,3.1,4.4,1.4,"Iris-versicolor"
"Row66",5.6,3.0,4.5,1.5,"Iris-versicolor"
"Row67",5.8,2.7,4.1,1.0,"Iris-versicolor"
"Row68",6.2,2.2,4.5,1.5,"Iris-versicolor"
"Row69",5.6,2.5,3.9,1.1,"Iris-versicolor"
"Row70",5.9,3.2,4.8,1.8,"Iris-versicolor"
"Row71",6.1,2.8,4.0,1.3,"Iris-versicolor"
"Row72",6.3,2.5,4.9,1.5,"Iris-versicolor"
"Row73",6.1,2.8,4.7,1.2,"Iris-versicolor"
"Row74",6.4,2.9,4.3,1.3,"Iris-versicolor"
"Row75",6.6,3.0,4.4,1.4,"Iris-versicolor"
"Row76",6.8,2.8,4.8,1.4,"Iris-versicolor"
"Row77",6.7,3.0,5.0,1.7,"Iris-versicolor"
"Row78",6.0,2.9,4.5,1.5,"Iris-versicolor"
"Row79",5.7,2.6,3.5,1.0,"Iris-versicolor"
"Row80",5.5,2.4,3.8,1.1,"Iris-versicolor"
"Row81",5.5,2.4,3.7,1.0,"Iris-versicolor"
"Row82",5.8,2.7,3.9,1.2,"Iris-versicolor"
"Row83",6.0,2.7,5.1,1.6,"Iris-versicolor"
"Row84",5.4,3.0,4.5,1.5,"Iris-versicolor"
"Row85",6.0,3.4,4.5,1.6,"Iris-versicolor"
"Row86",6.7,3.1,4.7,1.5,"Iris-versicolor"
"Row87",6.3,2.3,4.4,1.3,"Iris-versicolor"
"Row88",5.6,3.0,4.1,1.3,"Iris-versicolor"
"Row89",5.5,2.5,4.0,1.3,"Iris-versicolor"
"Row90",5.5,2.6,4.4,1.2,"Iris-versicolor"
"Row91",6.1,3.0,4.6,1.4,"Iris-versicolor"
"Row92",5.8,2.6,4.0,1.2,"Iris-versicolor"
"Row93",5.0,2.3,3.3,1.0,"Iris-versicolor"
"Row94",5.6,2.7,4.2,1.3,"Iris-versicolor"
"Row95",5.7,3.0,4.2,1.2,"Iris-versicolor"
"Row96",5.7,2.9,4.2,1.3,"Iris-versicolor"
"Row97",6.2,2.9,4.3,1.3,"Iris-versicolor"
"Row98",5.1,2.5,3.0,1.1,"Iris-versicolor"
"Row99",5.7,2.8,4.1,1.3,"Iris-versicolor"
"Row100",6.3,3.3,6.0,2.5,"Iris-virginica"
"Row101",5.8,2.7,5.1,1.9,"Iris-virginica"
"Row102",7.1,3.0,5.9,2.1,"Iris-virginica"
"Row103",6.3,2.9,5.6,1.8,"Iris-virginica"
"Row104",6.5,3.0,5.8,2.2,"Iris-virginica"
"Row105",7.6,3.0,6.6,2.1,"Iris-virginica"
"Row106",4.9,2.5,4.5,1.7,"Iris-virginica"
"Row107",7.3,2.9,6.3,1.8,"Iris-virginica"
"Row108",6.7,2.5,5.8,1.8,"Iris-virginica"
"Row109",7.2,3.6,6.1,2.5,"Iris-virginica"
"Row110",6.5,3.2,5.1,2.0,"Iris-virginica"
"Row111",6.4,2.7,5.3,1.9,"Iris-virginica"
"Row112",6.8,3.0,5.5,2.1,"Iris-virginica"
"Row113",5.7,2.5,5.0,2.0,"Iris-virginica"
"Row114",5.8,2.8,5.1,2.4,"Iris-virginica"
"Row115",6.4,3.2,5.3,2.3,"Iris-virginica"
"Row116",6.5,3.0,5.5,1.8,"Iris-virginica"
"Row117",7.7,3.8,6.7,2.2,"Iris-virginica"
"Row118",7.7,2.6,6.9,2.3,"Iris-virginica"
"Row119",6.0,2.2,5.0,1.5,"Iris-virginica"
"Row120",6.9,3.2,5.7,2.3,"Iris-virginica"
"Row121",5.6,2.8,4.9,2.0,"Iris-virginica"
"Row122",7.7,2.8,6.7,2.0,"Iris-virginica"
"Row123",6.3,2.7,4.9,1.8,"Iris-virginica"
"Row124",6.7,3.3,5.7,2.1,"Iris-virginica"
"Row125",7.2,3.2,6.0,1.8,"Iris-virginica"
"Row126",6.2,2.8,4.8,1.8,"Iris-virginica"
"Row127",6.1,3.0,4.9,1.8,"Iris-virginica"
"Row128",6.4,2.8,5.6,2.1,"Iris-virginica"
"Row129",7.2,3.0,5.8,1.6,"Iris-virginica"
"Row130",7.4,2.8,6.1,1.9,"Iris-virginica"
"Row131",7.9,3.8,6.4,2.0,"Iris-virginica"
"Row132",6.4,2.8,5.6,2.2,"Iris-virginica"
"Row133",6.3,2.8,5.1,1.5,"Iris-virginica"
"Row134",6.1,2.6,5.6,1.4,"Iris-virginica"
"Row135",7.7,3.0,6.1,2.3,"Iris-virginica"
"Row136",6.3,3.4,5.6,2.4,"Iris-virginica"
"Row137",6.4,3.1,5.5,1.8,"Iris-virginica"
"Row138",6.0,3.0,4.8,1.8,"Iris-virginica"
"Row139",6.9,3.1,5.4,2.1,"Iris-virginica"
"Row140",6.7,3.1,5.6,2.4,"Iris-virginica"
"Row141",6.9,3.1,5.1,2.3,"Iris-virginica"
"Row142",5.8,2.7,5.1,1.9,"Iris-virginica"
"Row143",6.8,3.2,5.9,2.3,"Iris-virginica"
"Row144",6.7,3.3,5.7,2.5,"Iris-virginica"
"Row145",6.7,3.0,5.2,2.3,"Iris-virginica"
"Row146",6.3,2.5,5.0,1.9,"Iris-virginica"
"Row147",6.5,3.0,5.2,2.0,"Iris-virginica"
"Row148",6.2,3.4,5.4,2.3,"Iris-virginica"
"Row149",5.9,3.0,5.1,1.8,"Iris-virginica"
